shelter_id,intake_date,temp,humidity,winddir,visibility
Rochester,2021-01-28,-7.8,71.65,311.6,11.2
Rochester,2021-03-25,15.8,62.23,181.8,16.0
Rochester,2021-07-06,26.4,71.76,256.7,15.9
Rochester,2021-09-29,13.5,71.18,253.2,16.0
Rochester,2021-09-30,12.5,73.01,162.3,15.7
Rochester,2021-07-23,20.2,65.41,230.6,16.0
Rochester,2021-01-01,-0.1,80.0,145.0,14.3
Rochester,2021-04-08,15.5,54.97,137.2,16.0
Rochester,2021-07-15,24.7,70.43,221.4,16.0
Rochester,2021-10-20,16.3,69.8,258.1,16.0
Rochester,2021-12-15,5.3,66.44,176.3,15.3
Rochester,2021-04-15,5.9,75.87,273.5,14.8
Rochester,2021-05-31,14.5,58.07,283.7,16.0
Rochester,2021-10-27,10.5,77.55,102.9,16.0
Rochester,2021-12-28,2.5,78.1,250.2,13.2
Rochester,2021-01-19,-0.9,80.69,255.0,12.0
Rochester,2021-04-25,9.2,64.29,282.3,16.0
Rochester,2021-06-25,24.2,50.5,203.8,16.0
Rochester,2021-01-31,-8.1,71.04,116.1,15.5
Oakland,2021-01-05,11.3,56.25,196.8,16.0
Oakland,2021-03-16,21.3,59.6,142.7,15.4
Oakland,2021-05-20,22.4,77.45,95.4,15.0
Oakland,2021-08-31,31.3,53.69,203.3,16.0
Oakland,2021-03-09,18.0,68.61,170.1,16.0
Oakland,2021-07-10,28.2,70.07,187.1,16.0
Oakland,2021-07-27,32.6,51.39,130.3,15.9
Oakland,2021-09-04,30.5,59.39,168.3,16.0
Oakland,2021-10-10,26.0,66.84,176.3,15.7
Oakland,2021-02-13,-3.6,68.77,198.1,12.8
Oakland,2021-02-06,9.1,69.0,197.6,15.4
Oakland,2021-03-12,22.4,72.21,158.0,15.0
Oakland,2021-05-09,25.2,65.0,191.3,16.0
Oakland,2021-07-08,29.4,62.41,167.8,16.0
Oakland,2021-09-30,25.3,69.08,116.9,15.9
Oakland,2021-08-07,28.9,67.14,167.5,16.0
